[-0.00020374072768791773, 0.00031152299942421857]
[-0.0014234815106018983, -0.0005039914771826082]
[-0.0007500256487572021, -0.0005204777208888123]
[-0.0002939502168021746, -0.00033082371774495467]
[-0.0018082328480250598, -0.00030189365718713557]
[-0.0005209670411538414, 0.0005680976896192819]
[-0.0015707790636053653, 0.0005455553688436948]
[-0.001641285405756393, 0.0006256813093245966]
[-0.0004353371470425249, 0.0006320305816622518]
[-0.0017173014955739752, -0.00020286403722347135]
[-0.00035990444966621515, -0.00022949192623544779]
[-0.0006237318920448709, -0.0005634382066436183]
[-0.0014102518366078676, -0.0005336909704520831]
[-0.0002398184326064534, 0.00019763207218986834]
[-0.0017565741719242078, 0.00018223200839781462]
[-0.0011796471342604906, 0.0007394741822268486]
[-0.0008125714540047346, 0.000748252094051452]
[-0.00178045712689745, 0.00018878556179696693]
[-0.00020113122455300836, 0.00015769520332281628]
[-0.0010294899755402959, -0.0005636934224064749]
[-0.0009390085167892553, -0.0005415226716749544]
[-0.0002109324144437541, -0.00019873737364373145]
[-0.0017011859349224112, -0.00020548834401867833]
[-0.0007171038064170965, 0.0006222292142777225]
[-0.0011968963225391094, 0.0006329504897875926]
[-0.0016037099458410253, 0.0005351337454862076]
[-0.000285848655350307, 0.0005065511752107149]
[-0.0013705412151394092, -0.0003455501234218561]
[-0.0005310735855261206, -0.00033641523739391666]
[-0.00040513501896061177, -0.0004905009294965401]
[-0.001432675055221544, -0.0004898202044654187]
[-0.0003810761167127308, 0.00032362137842023575]
[-0.0014606332187833138, 0.00033480762207674375]
[-0.001252502749753387, 0.0007238031819571181]
[-0.0005518216824426658, 0.0007041058903829792]
[-0.0015392547777738907, 8.300811105199646e-06]
[-0.0002920907577581011, 2.9667033551450395e-06]
[-0.0007287386852139199, -0.0005891987980319868]
[-0.0010425045586751128, -0.0005839862701098042]
[-0.0002492795867539699, -5.164380757638476e-05]
[-0.0015250745821425715, -4.23067096505525e-05]
[-0.0008405830324383912, 0.0006996745737611609]
[-0.000887801306251837, 0.0006929463388214291]
[-0.0014911883307208718, 0.0003772427849756954]
[-0.0002667786520111348, 0.00035992245208438245]
[-0.0010577850191308413, -0.0004732409480602273]
[-0.0006520884607887356, -0.00046678608254979714]
[-0.0003299126956026188, -0.0003806874623494272]
[-0.001380513861482635, -0.0003757298626015926]
[-0.0004908550109036791, 0.00047839044678658904]
[-0.0011719102533223613, 0.0004853879281719736]
[-0.0012533999281402752, 0.0006431090914199716]
[-0.00043014490697185215, 0.0006190618958857586]
[-0.0012788256749978189, -0.00019008195910463765]
[-0.00037273195242093493, -0.0001849669017404132]
[-0.0005649154146100677, -0.0005623411981190429]
[-0.0010834457724957502, -0.0005636629588945397]
[-0.00029649078567345333, 0.00013684385754617057]
[-0.0013102295645864848, 0.0001549031768020015]
[-0.0009100651678073182, 0.0007269481708522263]
[-0.0007009867989506702, 0.000702477949794944]
[-0.0013231828432674342, 0.0001632548464651773]
[-0.00027181436726347874, 0.00016575435162013985]
[-0.000853513502699188, -0.0005474662026074828]
[-0.0007335382661108614, -0.0005555858836623351]
[-0.0002942785660314251, -0.00021476458574054558]
[-0.0012636718664622015, -0.0001908916696262697]
[-0.0005715585391864453, 0.000611064575631079]
[-0.0009718127834374701, 0.0005917411851615872]
[-0.0011846190395169431, 0.0004737131841879849]
[-0.00035519972588732296, 0.000473642522939674]
